NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Ang Thong,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Bangkok Metropolis,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Bueng Kan,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Buri Ram,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Chachoengsao,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Chai Nat,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Chaiyaphum,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Chanthaburi,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Chiang Mai,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Chiang Rai,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Chon Buri,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Chumphon,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Kalasin,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Kamphaeng Phet,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Kanchanaburi,0,0,3,97,100,0.97,0.97,1,0,0.97,0,0.9847715736040609
Khon Kaen,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Krabi,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Lampang,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Lamphun,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Loei,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Lop Buri,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Mae Hong Son,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Maha Sarakham,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Mukdahan,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Nakhon Nayok,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Nakhon Pathom,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Nakhon Phanom,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Nakhon Ratchasima,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Nakhon Sawan,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Nakhon Si Thammarat,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Nan,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Narathiwat,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Nong Bua Lam Phu,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Nong Khai,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Nonthaburi,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Pathum Thani,0,0,3,97,100,0.97,0.97,1,0,0.97,0,0.9847715736040609
Pattani,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Phangnga,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Phatthalung,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Phayao,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Phetchabun,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Phetchaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Phichit,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Phitsanulok,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Phra Nakhon Si Ayutthaya,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Phrae,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Phuket,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Prachin Buri,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Prachuap Khiri Khan,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Ranong,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Ratchaburi,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Rayong,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Roi Et,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Sa Kaeo,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Sakon Nakhon,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Samut Prakan,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Samut Sakhon,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Samut Songkhram,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Saraburi,0,0,1,99,100,0.99,0.99,1,0,0.99,0,0.9949748743718593
Satun,0,0,2,98,100,0.98,0.98,1,0,0.98,0,0.98989898989899
Si Sa Ket,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Sing Buri,0,0,7,93,100,0.93,0.93,1,0,0.93,0,0.9637305699481865
Songkhla,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Sukhothai,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Suphan Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Surat Thani,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Surin,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Tak,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Trang,0,0,4,96,100,0.96,0.96,1,0,0.96,0,0.9795918367346939
Trat,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Ubon Ratchathani,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Udon Thani,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Uthai Thani,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Uttaradit,0,0,0,100,100,1.0,1.0,1,0,1.0,0,1.0
Yala,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
Yasothon,100,0,0,0,100,1.0,0.0,0,1,0.0,1,0.0
