NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Ang Thong,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Bangkok Metropolis,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Bueng Kan,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Buri Ram,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Chachoengsao,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Chai Nat,92,8,0,0,100,0.92,0.08,0,1,0,0.92,0
Chaiyaphum,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Chanthaburi,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Chiang Mai,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Chiang Rai,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Chon Buri,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Chumphon,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Kalasin,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Kamphaeng Phet,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Kanchanaburi,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Khon Kaen,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Krabi,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Lampang,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Lamphun,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Loei,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Lop Buri,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Mae Hong Son,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Maha Sarakham,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Mukdahan,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Nakhon Nayok,88,12,0,0,100,0.88,0.12,0,1,0,0.88,0
Nakhon Pathom,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Nakhon Phanom,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nakhon Ratchasima,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Nakhon Sawan,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Nakhon Si Thammarat,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Nan,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Narathiwat,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Nong Bua Lam Phu,92,8,0,0,100,0.92,0.08,0,1,0,0.92,0
Nong Khai,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nonthaburi,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Pathum Thani,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Pattani,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Phangnga,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Phatthalung,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Phayao,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Phetchabun,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Phetchaburi,92,8,0,0,100,0.92,0.08,0,1,0,0.92,0
Phichit,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Phitsanulok,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Phra Nakhon Si Ayutthaya,86,14,0,0,100,0.86,0.14,0,1,0,0.86,0
Phrae,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Phuket,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Prachin Buri,89,11,0,0,100,0.89,0.11,0,1,0,0.89,0
